iter	Passed	Remaining
757	78958	25208
758	79068	25105
759	79190	25007
760	79312	24908
761	79434	24810
762	79541	24706
763	79647	24603
764	79734	24493
765	79840	24389
766	79929	24281
767	80026	24174
768	80149	24076
769	80242	23968
770	80349	23865
771	80454	23761
772	80555	23655
773	80658	23551
774	80767	23448
775	80872	23344
776	80970	23238
777	81065	23131
778	81168	23027
779	81272	22923
780	81377	22819
781	81476	22713
782	81582	22609
783	81674	22502
784	81774	22396
785	81872	22290
786	81975	22186
787	82082	22083
788	82182	21977
789	82299	21877
790	82404	21773
791	82511	21669
792	82612	21564
793	82713	21459
794	82814	21354
795	82924	21252
796	83033	21149
797	83127	21042
798	83235	20939
799	83337	20834
800	83444	20730
801	83547	20626
802	83676	20528
803	83781	20424
804	83877	20318
805	83985	20214
806	84082	20108
807	84204	20009
808	84305	19904
809	84403	19798
810	84510	19694
811	84617	19591
812	84734	19490
813	84848	19387
814	84955	19284
815	85061	19180
816	85175	19078
817	85284	18975
818	85389	18871
819	85489	18766
820	85574	18657
821	85677	18552
822	85774	18447
823	85877	18342
824	85974	18237
825	86079	18132
826	86175	18027
827	86280	17922
828	86376	17817
829	86476	17712
830	86583	17608
831	86683	17503
832	86790	17399
833	86887	17294
834	86982	17188
835	87082	17083
836	87177	16977
837	87280	16872
838	87372	16766
839	87470	16661
840	87567	16555
841	87659	16449
842	87761	16344
843	87865	16240
844	87970	16136
845	88070	16031
846	88168	15926
847	88266	15821
848	88364	15716
849	88463	15611
850	88556	15505
851	88645	15398
852	88751	15294
853	88855	15190
854	88946	15084
855	89043	14979
856	89138	14873
857	89232	14768
858	89335	14663
859	89438	14559
860	89545	14456
861	89653	14352
862	89754	14248
863	89848	14142
864	89952	14038
865	90051	13934
866	90147	13828
867	90242	13723
868	90348	13619
869	90443	13514
870	90543	13410
871	90645	13305
872	90753	13202
873	90846	13096
874	90942	12991
875	91038	12886
876	91137	12782
877	91239	12677
878	91338	12573
879	91441	12469
880	91549	12365
881	91661	12263
882	91762	12158
883	91864	12054
884	91965	11950
885	92056	11844
886	92174	11742
887	92282	11639
888	92379	11534
889	92479	11430
890	92587	11326
891	92687	11222
892	92784	11117
893	92889	11013
894	92998	10910
895	93097	10805
896	93196	10701
897	93294	10596
898	93392	10492
899	93498	10388
900	93602	10284
901	93701	10180
902	93800	10075
903	93898	9971
904	93991	9866
905	94086	9761
906	94185	9657
907	94283	9553
908	94379	9448
909	94470	9343
910	94564	9238
911	94662	9134
912	94760	9029
913	94857	8925
914	94961	8821
915	95066	8717
916	95169	8614
917	95283	8511
918	95396	8408
919	95509	8305
920	95620	8201
921	95737	8099
922	95848	7996
923	95955	7892
924	96053	7788
925	96158	7684
926	96264	7580
927	96372	7477
928	96474	7373
929	96576	7269
930	96697	7166
931	96803	7062
932	96904	6958
933	96996	6854
934	97100	6750
935	97202	6646
936	97310	6542
937	97401	6438
938	97493	6333
939	97577	6228
940	97672	6124
941	97769	6019
942	97867	5915
943	97967	5811
944	98061	5707
945	98160	5603
946	98255	5499
947	98351	5394
948	98446	5290
949	98544	5186
950	98639	5082
951	98741	4978
952	98844	4874
953	98937	4770
954	99034	4666
955	99132	4562
956	99225	4458
957	99331	4354
958	99431	4250
959	99524	4146
960	99626	4043
961	99726	3939
962	99826	3835
963	99925	3731
964	100021	3627
965	100113	3523
966	100206	3419
967	100303	3315
968	100400	3211
969	100502	3108
970	100608	3004
971	100732	2901
972	100841	2798
973	100951	2694
974	101063	2591
975	101163	2487
976	101272	2384
977	101382	2280
978	101493	2177
979	101615	2073
980	101727	1970
981	101847	1866
982	101947	1763
983	102050	1659
984	102151	1555
985	102261	1451
986	102360	1348
987	102454	1244
988	102550	1140
989	102644	1036
990	102739	933
991	102842	829
992	102934	725
993	103029	621
994	103122	518
995	103218	414
996	103313	310
997	103416	207
998	103515	103
999	103604	0
